Tilgjengelige seriellporter:
http://localhost:3000
COM34
Nettleser åpen
0: (12:24) 39
1: (12:24) 39
2: (12:24) 39
3: (12:24) 39
4: (12:24) 39
5: (12:24) 39
6: (12:24) 39
7: (12:24) 39
8: (12:24) 39
9: (12:24) 39
10: (12:24) 39
11: (12:24) 39
12: (12:24) 39
13: (12:24) 39
14: (12:24) 39
15: (12:24) 39
16: (12:24) 39
17: (12:24) 39
18: (12:24) 39
19: (12:24) 39
20: (12:24) 39
21: (12:24) 39
22: (12:24) 39
23: (12:24) 39
24: (12:24) 39
25: (12:24) 39
26: (12:24) 39
27: (12:24) 39
28: (12:24) 39
29: (12:24) 39
30: (12:24) 39
31: (12:24) 39
32: (12:24) 39
33: (12:24) 39
34: (12:24) 39
35: (12:24) 39
36: (12:24) 39
37: (12:24) 39
38: (12:24) 39
39: (12:24) 39
40: (12:24) 39
41: (12:24) 39
42: (12:24) 39
43: (12:24) 39
44: (12:24) 39
45: (12:24) 39
46: (12:24) 39
47: (12:24) 39
48: (12:24) 39
49: (12:24) 39
50: (12:24) 39
51: (12:24) 39
52: (12:24) 39
53: (12:24) 39
54: (12:24) 39
55: (12:24) 39
56: (12:24) 39
57: (12:24) 39
58: (12:24) 39
59: (12:24) 39
60: (12:24) 39
61: (12:24) 39
62: (12:24) 39
63: (12:24) 39
64: (12:24) 39
65: (12:24) 39
66: (12:24) 39
67: (12:24) 39
68: (12:24) 39
69: (12:24) 39
70: (12:24) 39
71: (12:24) 39
72: (12:24) 39
73: (12:24) 39
74: (12:24) 39
75: (12:24) 39
76: (12:24) 39
77: (12:24) 39
78: (12:24) 39
79: (12:24) 39
80: (12:24) 39
81: (12:24) 39
82: (12:24) 39
83: (12:24) 39
84: (12:24) 39
85: (12:24) 39
86: (12:24) 39
87: (12:24) 39
88: (12:24) 39
89: (12:24) 39
90: (12:24) 39
91: (12:24) 39
92: (12:24) 39
93: (12:24) 39
94: (12:24) 39
95: (12:24) 39
96: (12:24) 39
97: (12:24) 39
98: (12:24) 39
99: (12:24) 39
100: (12:24) 39
101: (12:24) 39
102: (12:24) 39
103: (12:24) 39
104: (12:24) 39
105: (12:24) 39
106: (12:24) 39
107: (12:24) 39
108: (12:24) 39
109: (12:24) 39
110: (12:24) 39
111: (12:24) 39
112: (12:24) 39
113: (12:24) 39
114: (12:24) 39
115: (12:24) 39
116: (12:24) 39
117: (12:24) 39
118: (12:24) 39
119: (12:24) 39
120: (12:24) 39
121: (12:24) 39
122: (12:24) 39
123: (12:24) 39
124: (12:24) 39
125: (12:24) 39
126: (12:24) 39
127: (12:24) 39
128: (12:24) 39
129: (12:24) 39
130: (12:24) 39
131: (12:24) 39
132: (12:24) 39
133: (12:24) 39
134: (12:24) 39
135: (12:24) 39
136: (12:24) 39
137: (12:24) 39
138: (12:24) 39
139: (12:24) 39
140: (12:24) 39
141: (12:24) 39
142: (12:24) 39
143: (12:24) 39
144: (12:24) 39
145: (12:24) 39
146: (12:24) 39
147: (12:24) 40
148: (12:24) 39
149: (12:24) 39
150: (12:24) 39
151: (12:24) 39
152: (12:24) 39
153: (12:24) 39
154: (12:24) 39
155: (12:24) 39
156: (12:24) 39
157: (12:24) 39
158: (12:24) 39
159: (12:24) 39
160: (12:24) 39
161: (12:24) 39
162: (12:24) 39
163: (12:24) 39
164: (12:24) 39
165: (12:24) 39
166: (12:24) 39
167: (12:24) 39
168: (12:24) 39
169: (12:24) 39
170: (12:24) 39
