[33m[nodemon] 2.0.3[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): *.*[39m
[33m[nodemon] watching extensions: js,mjs,json[39m
[32m[nodemon] starting `node index.js`[39m
Tilgjengelige seriellporter:
http://localhost:3000
COM34
Nettleser åpen
0: (12:23) 39
1: (12:23) 39
2: (12:23) 39
3: (12:23) 39
4: (12:23) 39
5: (12:23) 39
6: (12:23) 39
7: (12:23) 39
8: (12:23) 39
9: (12:23) 39
10: (12:23) 39
11: (12:23) 39
12: (12:23) 39
13: (12:23) 39
14: (12:23) 39
15: (12:23) 39
16: (12:23) 39
17: (12:23) 39
18: (12:23) 39
19: (12:23) 39
20: (12:23) 39
21: (12:23) 39
22: (12:23) 39
23: (12:23) 39
24: (12:23) 39
25: (12:23) 39
26: (12:23) 39
27: (12:23) 39
28: (12:23) 39
29: (12:23) 39
30: (12:23) 39
31: (12:23) 39
32: (12:23) 39
33: (12:23) 39
34: (12:23) 39
35: (12:23) 39
36: (12:23) 39
37: (12:23) 39
38: (12:23) 39
39: (12:23) 39
40: (12:23) 39
41: (12:23) 39
42: (12:23) 39
43: (12:23) 39
44: (12:23) 39
45: (12:23) 39
46: (12:23) 39
47: (12:23) 39
48: (12:23) 39
49: (12:23) 39
50: (12:23) 39
51: (12:23) 39
52: (12:23) 39
53: (12:23) 39
54: (12:23) 39
55: (12:23) 39
56: (12:23) 39
57: (12:23) 39
58: (12:23) 39
59: (12:23) 39
60: (12:23) 39
61: (12:23) 39
62: (12:23) 39
63: (12:23) 39
64: (12:23) 39
65: (12:23) 39
66: (12:23) 39
67: (12:23) 39
68: (12:23) 39
69: (12:23) 39
70: (12:23) 39
71: (12:23) 39
72: (12:23) 39
73: (12:23) 39
74: (12:23) 39
75: (12:23) 39
76: (12:23) 39
77: (12:23) 39
78: (12:23) 39
79: (12:23) 39
80: (12:23) 39
81: (12:23) 39
82: (12:23) 39
83: (12:23) 39
84: (12:23) 39
85: (12:23) 39
86: (12:23) 39
87: (12:23) 39
88: (12:23) 39
89: (12:23) 39
90: (12:23) 39
91: (12:23) 39
92: (12:23) 39
93: (12:23) 39
94: (12:23) 39
95: (12:23) 39
96: (12:23) 39
97: (12:23) 39
98: (12:23) 39
99: (12:23) 39
100: (12:23) 39
101: (12:23) 39
102: (12:23) 39
103: (12:23) 39
104: (12:23) 39
105: (12:23) 39
106: (12:23) 39
107: (12:23) 39
108: (12:23) 39
109: (12:23) 39
110: (12:23) 39
111: (12:23) 39
112: (12:23) 39
113: (12:23) 39
114: (12:23) 39
115: (12:23) 39
116: (12:23) 39
117: (12:23) 39
118: (12:23) 39
119: (12:23) 39
120: (12:23) 39
121: (12:23) 39
122: (12:23) 39
123: (12:23) 39
124: (12:23) 39
125: (12:23) 39
126: (12:23) 39
127: (12:23) 39
128: (12:23) 39
129: (12:23) 39
130: (12:23) 39
131: (12:23) 39
132: (12:23) 39
133: (12:23) 39
134: (12:23) 39
135: (12:23) 39
136: (12:23) 39
137: (12:23) 39
138: (12:23) 39
139: (12:23) 39
140: (12:23) 39
141: (12:23) 39
142: (12:23) 39
143: (12:23) 39
144: (12:23) 39
145: (12:23) 39
146: (12:23) 39
147: (12:23) 39
148: (12:23) 39
149: (12:23) 39
150: (12:23) 39
151: (12:23) 39
152: (12:23) 39
153: (12:23) 39
154: (12:23) 39
155: (12:23) 39
156: (12:23) 39
157: (12:23) 39
158: (12:23) 39
159: (12:23) 39
160: (12:23) 38
161: (12:23) 39
162: (12:23) 39
163: (12:23) 39
164: (12:23) 39
165: (12:23) 39
166: (12:23) 39
167: (12:23) 39
168: (12:23) 39
169: (12:23) 39
170: (12:23) 39
171: (12:23) 39
172: (12:23) 39
173: (12:23) 39
174: (12:23) 39
175: (12:23) 39
176: (12:23) 39
177: (12:23) 39
178: (12:23) 39
179: (12:23) 39
180: (12:23) 39
181: (12:23) 39
182: (12:23) 39
183: (12:23) 39
184: (12:23) 39
185: (12:23) 39
186: (12:23) 39
187: (12:23) 39
188: (12:23) 39
189: (12:23) 39
190: (12:23) 39
191: (12:23) 39
192: (12:23) 39
193: (12:23) 39
194: (12:23) 39
195: (12:23) 39
196: (12:23) 39
197: (12:23) 39
198: (12:23) 39
199: (12:23) 39
200: (12:23) 39
201: (12:23) 39
202: (12:23) 39
203: (12:23) 39
204: (12:23) 39
205: (12:23) 39
206: (12:23) 39
207: (12:23) 39
208: (12:23) 39
209: (12:23) 39
210: (12:23) 39
211: (12:23) 39
212: (12:23) 39
213: (12:23) 39
214: (12:23) 39
215: (12:23) 39
216: (12:23) 39
217: (12:23) 39
218: (12:23) 39
219: (12:23) 39
220: (12:23) 39
221: (12:23) 39
222: (12:23) 39
223: (12:23) 39
224: (12:23) 39
225: (12:23) 39
226: (12:23) 39
227: (12:23) 39
228: (12:23) 39
229: (12:23) 39
230: (12:23) 39
231: (12:23) 39
232: (12:23) 39
233: (12:23) 39
234: (12:23) 39
235: (12:23) 39
236: (12:23) 39
237: (12:23) 39
238: (12:23) 39
239: (12:23) 39
240: (12:23) 39
241: (12:23) 39
242: (12:23) 39
243: (12:23) 39
244: (12:23) 39
245: (12:23) 39
246: (12:23) 39
247: (12:23) 39
248: (12:23) 39
249: (12:23) 38
250: (12:23) 39
251: (12:23) 39
252: (12:23) 39
253: (12:23) 39
254: (12:23) 39
255: (12:23) 39
256: (12:23) 39
257: (12:23) 39
258: (12:23) 39
259: (12:23) 39
260: (12:23) 39
261: (12:23) 39
262: (12:23) 39
263: (12:23) 39
264: (12:23) 39
265: (12:23) 39
266: (12:23) 39
267: (12:23) 39
268: (12:23) 39
269: (12:23) 39
270: (12:23) 39
271: (12:23) 39
272: (12:23) 39
273: (12:23) 39
274: (12:23) 39
275: (12:23) 39
276: (12:23) 39
277: (12:23) 39
278: (12:23) 39
279: (12:23) 39
280: (12:23) 39
281: (12:23) 39
282: (12:23) 39
283: (12:23) 39
284: (12:23) 39
285: (12:23) 39
286: (12:23) 39
287: (12:23) 39
288: (12:23) 39
289: (12:23) 39
290: (12:23) 39
291: (12:23) 39
292: (12:23) 39
293: (12:23) 39
294: (12:23) 38
295: (12:23) 38
296: (12:23) 39
297: (12:23) 39
298: (12:23) 39
299: (12:23) 39
300: (12:23) 39
301: (12:23) 39
302: (12:23) 39
303: (12:23) 39
304: (12:23) 39
305: (12:23) 39
306: (12:23) 38
307: (12:23) 39
308: (12:23) 39
309: (12:23) 39
310: (12:23) 39
311: (12:23) 39
312: (12:23) 39
313: (12:23) 39
314: (12:23) 39
315: (12:23) 39
316: (12:23) 39
317: (12:23) 39
318: (12:23) 39
319: (12:23) 39
320: (12:23) 39
321: (12:23) 39
322: (12:23) 39
323: (12:23) 39
324: (12:23) 39
325: (12:23) 39
326: (12:23) 39
327: (12:23) 39
328: (12:23) 39
329: (12:23) 39
330: (12:23) 39
331: (12:23) 39
332: (12:23) 39
333: (12:23) 39
334: (12:23) 39
335: (12:23) 39
336: (12:23) 39
337: (12:23) 39
338: (12:23) 39
339: (12:23) 39
340: (12:23) 39
341: (12:23) 39
342: (12:23) 39
343: (12:23) 39
344: (12:23) 39
345: (12:23) 39
346: (12:23) 39
347: (12:23) 39
348: (12:23) 39
